word,2of12inf,NWL2023,google20k,ALL_THREE
abnormally,1,1,0,0
abnormals,0,1,0,0
abnormities,0,1,0,0
abnormity,0,1,0,0
aboard,1,1,1,1
abode,1,1,0,0
aboded,0,1,0,0
abodes,1,1,0,0
aboding,0,1,0,0
abohm,0,1,0,0
abohms,0,1,0,0
aboideau,0,1,0,0
aboideaus,0,1,0,0
aboideaux,0,1,0,0
aboil,0,1,0,0
aboiteau,0,1,0,0
aboiteaus,0,1,0,0
aboiteaux,0,1,0,0
abolish,1,1,0,0
abolishable,0,1,0,0
abolished,1,1,0,0
abolisher,0,1,0,0
abolishers,0,1,0,0
abolishes,1,1,0,0
abolishing,1,1,0,0
abolishment,0,1,0,0
abolishments,0,1,0,0
abolition,1,1,0,0
abolitionary,0,1,0,0
abolitionism,1,1,0,0
abolitionisms,1,1,0,0
abolitionist,1,1,0,0
abolitionists,1,1,0,0
abolitions,1,1,0,0
abolla,0,1,0,0
abollae,0,1,0,0
aboma,0,1,0,0
abomas,0,1,0,0
abomasa,0,1,0,0
abomasal,0,1,0,0
abomasi,0,1,0,0
abomasum,0,1,0,0
abomasus,0,1,0,0
abominable,1,1,0,0
abominably,1,1,0,0
abominate,1,1,0,0
abominated,1,1,0,0
abominates,1,1,0,0
abominating,1,1,0,0
abomination,1,1,0,0
abominations,1,1,0,0
abominator,0,1,0,0
abominators,0,1,0,0
aboon,0,1,0,0
aboral,0,1,0,0
aborally,0,1,0,0
aboriginal,1,1,1,1
aboriginalities,0,1,0,0
aboriginality,0,1,0,0
aboriginally,0,1,0,0
aboriginals,1,1,0,0
aborigine,1,1,0,0
aborigines,1,1,0,0
aborning,1,1,0,0
abort,1,1,0,0
aborted,1,1,0,0
aborter,0,1,0,0
aborters,0,1,0,0
abortifacient,0,1,0,0
abortifacients,0,1,0,0
aborting,1,1,0,0
abortion,1,1,1,1
abortionist,1,1,0,0
abortionists,1,1,0,0
abortions,1,1,0,0
abortive,1,1,0,0
abortively,1,1,0,0
abortiveness,0,1,0,0
abortivenesses,0,1,0,0
aborts,1,1,0,0
abortuaries,0,1,0,0
abortuary,0,1,0,0
abortus,0,1,0,0
abortuses,0,1,0,0
abought,0,1,0,0
aboulia,0,1,0,0
aboulias,0,1,0,0
aboulic,0,1,0,0
abound,1,1,0,0
abounded,1,1,0,0
abounding,1,1,0,0
aboundingly,0,1,0,0
abounds,1,1,0,0
about,1,1,1,1
above,1,1,1,1
aboveboard,1,1,0,0
aboveground,0,1,0,0
aboves,1,1,0,0
abracadabra,1,1,0,0
abracadabras,1,1,0,0
abrachia,0,1,0,0
abrachias,0,1,0,0
abradable,0,1,0,0
abradant,0,1,0,0
abradants,0,1,0,0
abrade,1,1,0,0
abraded,1,1,0,0
abrader,0,1,0,0
abraders,0,1,0,0
abrades,1,1,0,0
abrading,1,1,0,0
abraham,0,0,1,0
abramoff,0,0,1,0
abrasion,1,1,0,0
abrasions,1,1,0,0
abrasive,1,1,0,0
abrasively,1,1,0,0
abrasiveness,1,1,0,0
abrasivenesses,1,1,0,0
abrasives,1,1,0,0
abreact,0,1,0,0
abreacted,0,1,0,0
abreacting,0,1,0,0
abreaction,0,1,0,0
abreactions,0,1,0,0
abreactive,0,1,0,0
abreacts,0,1,0,0
abreast,1,1,0,0
abri,0,1,0,0
abridge,1,1,0,0
abridgeable,0,1,0,0
abridged,1,1,0,0
abridgement,1,1,0,0
abridgements,1,1,0,0
abridger,0,1,0,0
abridgers,0,1,0,0
abridges,1,1,0,0
abridging,1,1,0,0
abridgment,1,1,0,0
abridgments,1,1,0,0
abris,0,1,0,0
abroach,0,1,0,0
abroad,1,1,1,1
abrogable,0,1,0,0
abrogate,1,1,0,0
abrogated,1,1,0,0
abrogates,1,1,0,0
abrogating,1,1,0,0
abrogation,1,1,0,0
abrogations,1,1,0,0
abrogator,1,1,0,0
abrogators,1,1,0,0
abrosia,0,1,0,0
abrosias,0,1,0,0
abrupt,1,1,0,0
abrupter,1,1,0,0
abruptest,1,1,0,0
abruption,0,1,0,0
abruptions,0,1,0,0
abruptly,1,1,0,0
abruptness,1,1,0,0
abruptnesses,1,1,0,0
abs,1,1,1,1
abscess,1,1,0,0
abscessed,1,1,0,0
abscesses,1,1,0,0
abscessing,1,1,0,0
abscise,0,1,0,0
abscised,0,1,0,0
abscises,0,1,0,0
abscisin,0,1,0,0
abscising,0,1,0,0
abscisins,0,1,0,0
abscissa,1,1,0,0
abscissae,1,1,0,0
abscissas,1,1,0,0
abscission,1,1,0,0
abscissions,1,1,0,0
abscond,1,1,0,0
absconded,1,1,0,0
absconder,1,1,0,0
absconders,1,1,0,0
absconding,1,1,0,0
absconds,1,1,0,0
abseil,1,1,0,0
abseiled,1,1,0,0
abseiler,0,1,0,0
abseilers,0,1,0,0
abseiling,1,1,0,0
abseils,1,1,0,0
absence,1,1,1,1
absences,1,1,0,0
absent,1,1,1,1
absented,1,1,0,0
absentee,1,1,0,0
absenteeism,1,1,0,0
absenteeisms,1,1,0,0
absentees,1,1,0,0
absenter,0,1,0,0
absenters,0,1,0,0
absenting,1,1,0,0
absently,1,1,0,0
absentminded,1,1,0,0
absentmindedly,1,1,0,0
absentmindedness,1,0,0,0
absentmindednesses,1,0,0,0
absents,1,1,0,0
absinth,1,1,0,0
absinthe,1,1,0,0
absinthes,1,1,0,0
absinths,1,1,0,0
absolute,1,1,1,1
absolutely,1,1,1,1
absoluteness,1,1,0,0
absolutenesses,1,1,0,0
absoluter,0,1,0,0
absolutes,1,1,0,0
absolutest,0,1,0,0
absolution,1,1,0,0
absolutions,1,1,0,0
absolutism,1,1,0,0
absolutisms,1,1,0,0
absolutist,1,1,0,0
absolutistic,0,1,0,0
absolutists,1,1,0,0
absolutive,0,1,0,0
absolutize,0,1,0,0
absolutized,0,1,0,0
absolutizes,0,1,0,0
absolutizing,0,1,0,0
absolve,1,1,0,0
absolved,1,1,0,0
absolvent,0,1,0,0
absolvents,0,1,0,0
absolver,0,1,0,0
absolvers,0,1,0,0
absolves,1,1,0,0
absolving,1,1,0,0
absonant,0,1,0,0
absorb,1,1,1,1
absorbabilities,0,1,0,0
absorbability,0,1,0,0
absorbable,0,1,0,0
absorbance,0,1,0,0
absorbances,0,1,0,0
absorbancies,0,1,0,0
absorbancy,0,1,0,0
absorbant,0,1,0,0
absorbants,0,1,0,0
absorbed,1,1,1,1
absorbedly,0,1,0,0
absorbencies,1,1,0,0
absorbency,1,1,0,0
absorbent,1,1,0,0
absorbents,1,1,0,0
absorber,0,1,0,0
absorbers,0,1,0,0
absorbing,1,1,1,1
absorbingly,1,1,0,0
absorbs,1,1,0,0
absorptance,0,1,0,0
absorptances,0,1,0,0
absorptiometry,0,1,0,0
absorption,1,1,1,1
absorptions,1,1,0,0
absorptive,1,1,0,0
absorptivities,0,1,0,0
absorptivity,0,1,0,0
abstain,1,1,0,0
abstained,1,1,0,0
abstainer,1,1,0,0
abstainers,1,1,0,0
abstaining,1,1,0,0
abstains,1,1,0,0
abstemious,1,1,0,0
abstemiously,1,1,0,0
abstemiousness,1,1,0,0
abstemiousnesses,1,0,0,0
abstention,1,1,0,0
abstentions,1,1,0,0
abstentious,0,1,0,0
absterge,0,1,0,0
absterged,0,1,0,0
absterges,0,1,0,0
absterging,0,1,0,0
abstinence,1,1,0,0
abstinences,1,1,0,0
abstinent,1,1,0,0
abstinently,0,1,0,0
abstract,1,1,1,1
abstractable,0,1,0,0
abstracted,1,1,0,0
abstractedly,1,1,0,0
abstractedness,1,1,0,0
abstractednesses,1,0,0,0
abstracter,0,1,0,0
abstracters,0,1,0,0
abstractest,0,1,0,0
abstracting,1,1,0,0
abstraction,1,1,1,1
abstractional,0,1,0,0
abstractionism,0,1,0,0
abstractionisms,0,1,0,0
abstractionist,0,1,0,0
abstractionists,0,1,0,0
abstractions,1,1,0,0
abstractive,0,1,0,0
abstractly,1,1,0,0
abstractness,1,1,0,0
abstractnesses,1,1,0,0
abstractor,0,1,0,0
abstractors,0,1,0,0
abstracts,1,1,1,1
abstrict,0,1,0,0
abstricted,0,1,0,0
abstricting,0,1,0,0
abstricts,0,1,0,0
abstruse,1,1,0,0
abstrusely,1,1,0,0
abstruseness,1,1,0,0
abstrusenesses,1,1,0,0
abstruser,0,1,0,0
abstrusest,0,1,0,0
abstrusities,0,1,0,0
abstrusity,0,1,0,0
absurd,1,1,1,1
absurder,1,1,0,0
absurdest,1,1,0,0
absurdism,0,1,0,0
absurdisms,0,1,0,0
absurdist,0,1,0,0
absurdists,0,1,0,0
absurdities,1,1,0,0
absurdity,1,1,0,0
absurdly,1,1,0,0
absurdness,1,1,0,0
absurdnesses,1,1,0,0
absurds,0,1,0,0
abt,0,0,1,0
abu,0,0,1,0
abubble,0,1,0,0
abuilding,0,1,0,0
abulia,0,1,0,0
abulias,0,1,0,0
abulic,0,1,0,0
abundance,1,1,1,1
abundances,1,1,0,0
abundant,1,1,1,1
abundantly,1,1,0,0
abusable,0,1,0,0
abuse,1,1,1,1
abused,1,1,1,1
abuser,1,1,0,0
abusers,1,1,0,0
abuses,1,1,1,1
abusing,1,1,0,0
abusive,1,1,1,1
abusively,1,1,0,0
abusiveness,1,1,0,0
abusivenesses,1,1,0,0
abut,1,1,0,0
abutilon,0,1,0,0
abutilons,0,1,0,0
abutment,1,1,0,0
abutments,1,1,0,0
abuts,1,1,0,0
abuttal,0,1,0,0
abuttals,0,1,0,0
abutted,1,1,0,0
abutter,0,1,0,0
abutters,0,1,0,0
abutting,1,1,0,0
abuzz,1,1,0,0
abvolt,0,1,0,0
abvolts,0,1,0,0
abwatt,0,1,0,0
abwatts,0,1,0,0
aby,0,1,0,0
abye,0,1,0,0
abyed,0,1,0,0
abyeing,0,1,0,0
abyes,0,1,0,0
abying,0,1,0,0
abys,0,1,0,0
abysm,0,1,0,0
abysmal,1,1,0,0
abysmally,1,1,0,0
abysms,0,1,0,0
abyss,1,1,0,0
abyssal,1,1,0,0
abysses,1,1,0,0
ac,0,0,1,0
aca,0,0,1,0
acacia,1,1,0,0
acacias,1,1,0,0
acad,0,0,1,0
academe,1,1,0,0
academes,1,1,0,0
academia,1,1,1,1
academias,1,1,0,0
academic,1,1,1,1
academical,0,1,0,0
academically,1,1,0,0
academicals,0,1,0,0
academician,1,1,0,0
academicians,1,1,0,0
academicism,0,1,0,0
academicisms,0,1,0,0
academics,1,1,1,1
academies,1,1,1,1
academism,0,1,0,0
academisms,0,1,0,0
academy,1,1,1,1
acai,0,1,0,0
acais,0,1,0,0
acajou,0,1,0,0
acajous,0,1,0,0
acalculous,0,1,0,0
acaleph,0,1,0,0
acalephae,0,1,0,0
acalephe,0,1,0,0
acalephes,0,1,0,0
acalephs,0,1,0,0
acantha,0,1,0,0
acanthae,0,1,0,0
acanthi,1,1,0,0
acanthine,0,1,0,0
acanthocephalan,0,1,0,0
acanthoid,0,1,0,0
acanthous,0,1,0,0
acanthus,1,1,0,0
acanthuses,1,1,0,0
acapnia,0,1,0,0
acapnias,0,1,0,0
acapulco,0,0,1,0
acarbose,0,1,0,0
acarboses,0,1,0,0
acari,0,1,0,0
acariases,0,1,0,0
acariasis,0,1,0,0
acaricidal,0,1,0,0
acaricide,0,1,0,0
acaricides,0,1,0,0
acarid,0,1,0,0
acaridan,0,1,0,0
acaridans,0,1,0,0
acarids,0,1,0,0
acarine,0,1,0,0
acarines,0,1,0,0
acaroid,0,1,0,0
acarologies,0,1,0,0
acarology,0,1,0,0
acarpous,0,1,0,0
acarus,0,1,0,0
acatalectic,0,1,0,0
acatalectics,0,1,0,0
acaudal,0,1,0,0
acaudate,0,1,0,0
acaulescent,0,1,0,0
acauline,0,1,0,0
acaulose,0,1,0,0
acaulous,0,1,0,0
acc,0,0,1,0
accede,1,1,0,0
acceded,1,1,0,0
accedence,0,1,0,0
accedences,0,1,0,0
acceder,0,1,0,0
acceders,0,1,0,0
accedes,1,1,0,0
acceding,1,1,0,0
accelerando,0,1,0,0
accelerandos,0,1,0,0
accelerant,0,1,0,0
accelerants,0,1,0,0
accelerate,1,1,1,1
accelerated,1,1,1,1
accelerates,1,1,0,0
accelerating,1,1,0,0
acceleratingly,0,1,0,0
acceleration,1,1,1,1
accelerations,1,1,0,0
accelerative,0,1,0,0
accelerator,1,1,1,1
accelerators,1,1,0,0
accelerometer,0,1,0,0
accelerometers,0,1,0,0
accent,1,1,1,1
accented,1,1,0,0
accenting,1,1,0,0
accentless,0,1,0,0
accentor,0,1,0,0
accentors,0,1,0,0
accents,1,1,1,1
accentual,1,1,0,0
accentually,0,1,0,0
accentuate,1,1,0,0
accentuated,1,1,0,0
accentuates,1,1,0,0
accentuating,1,1,0,0
accentuation,1,1,0,0
accentuations,1,1,0,0
accept,1,1,1,1
acceptabilities,1,1,0,0
acceptability,1,1,0,0
acceptable,1,1,1,1
acceptableness,1,1,0,0
acceptablenesses,1,0,0,0
acceptably,1,1,0,0
acceptance,1,1,1,1
acceptances,1,1,0,0
acceptant,0,1,0,0
acceptation,1,1,0,0
acceptations,1,1,0,0
accepted,1,1,1,1
acceptedly,0,1,0,0
acceptee,0,1,0,0
acceptees,0,1,0,0
accepter,0,1,0,0
accepters,0,1,0,0
accepting,1,1,1,1
acceptingly,0,1,0,0
acceptingness,0,1,0,0
acceptingnesses,0,1,0,0
acceptive,0,1,0,0
acceptor,0,1,0,0
acceptors,0,1,0,0
accepts,1,1,1,1
access,1,1,1,1
accessaries,0,1,0,0
accessary,0,1,0,0
accessed,1,1,1,1
accesses,1,1,1,1
accessibilities,1,1,0,0
accessibility,1,1,1,1
accessible,1,1,1,1
accessibleness,0,1,0,0
accessibly,1,1,0,0
accessing,1,1,1,1
accession,1,1,1,1
accessional,0,1,0,0
accessioned,0,1,0,0
accessioning,0,1,0,0
accessions,1,1,0,0
accessorial,0,1,0,0
accessories,1,1,1,1
accessorise,0,1,0,0
accessorised,0,1,0,0
accessorises,0,1,0,0
accessorising,0,1,0,0
accessorize,0,1,0,0
accessorized,0,1,0,0
accessorizes,0,1,0,0
accessorizing,0,1,0,0
accessory,1,1,1,1
acciaccatura,0,1,0,0
acciaccaturas,0,1,0,0
accidence,0,1,0,0
accidences,0,1,0,0
accident,1,1,1,1
accidental,1,1,1,1
accidentally,1,1,1,1
accidentalness,0,1,0,0
accidentals,1,1,0,0
accidently,0,1,0,0
accidents,1,1,1,1
accidia,0,1,0,0
accidias,0,1,0,0
accidie,0,1,0,0
accidies,0,1,0,0
accipiter,0,1,0,0
accipiters,0,1,0,0
accipitrine,0,1,0,0
accipitrines,0,1,0,0
acclaim,1,1,1,1
acclaimed,1,1,1,1
acclaimer,0,1,0,0
acclaimers,0,1,0,0
acclaiming,1,1,0,0
acclaims,1,1,0,0
acclamation,1,1,0,0
acclamations,1,1,0,0
acclimate,1,1,0,0
acclimated,1,1,0,0
acclimates,1,1,0,0
acclimating,1,1,0,0
acclimation,1,1,0,0
acclimations,1,1,0,0
acclimatisation,0,1,0,0
acclimatise,0,1,0,0
acclimatised,0,1,0,0
acclimatises,0,1,0,0
acclimatising,0,1,0,0
acclimatization,1,1,0,0
acclimatizations,1,0,0,0
acclimatize,1,1,0,0
acclimatized,1,1,0,0
acclimatizer,0,1,0,0
acclimatizers,0,1,0,0
acclimatizes,1,1,0,0
acclimatizing,1,1,0,0
acclivities,1,1,0,0
acclivitous,0,1,0,0
acclivity,1,1,0,0
acclivous,0,1,0,0
accolade,1,1,0,0
accoladed,0,1,0,0
accolades,1,1,1,1
accolading,0,1,0,0
accommodate,1,1,1,1
accommodated,1,1,0,0
accommodates,1,1,0,0
accommodating,1,1,0,0
accommodatingly,1,1,0,0
accommodation,1,1,1,1
accommodational,0,1,0,0
accommodations,1,1,1,1
accommodative,0,1,0,0
accommodator,0,1,0,0
accommodators,0,1,0,0
accomodation,0,0,1,0
accompanied,1,1,1,1
accompanies,1,1,0,0
accompaniment,1,1,0,0
accompanimental,0,1,0,0
accompaniments,1,1,0,0
accompanist,1,1,0,0
accompanists,1,1,0,0
accompany,1,1,1,1
accompanying,1,1,1,1
accomplice,1,1,0,0
accomplices,1,1,0,0
accomplish,1,1,1,1
accomplishable,0,1,0,0
accomplished,1,1,1,1
accomplisher,0,1,0,0
accomplishers,0,1,0,0
accomplishes,1,1,0,0
accomplishing,1,1,0,0
accomplishment,1,1,1,1
accomplishments,1,1,1,1
accord,1,1,1,1
accordance,1,1,1,1
accordances,1,1,0,0
accordant,1,1,0,0
accordantly,0,1,0,0
accorded,1,1,0,0
accorder,0,1,0,0
accorders,0,1,0,0
according,1,1,1,1
accordingly,1,1,1,1
accordion,1,1,0,0
accordionist,1,1,0,0
accordionists,1,1,0,0
accordions,1,1,0,0
accords,1,1,0,0
accost,1,1,0,0
accosted,1,1,0,0
accosting,1,1,0,0
accosts,1,1,0,0
accouchement,0,1,0,0
accouchements,0,1,0,0
accoucheur,0,1,0,0
accoucheurs,0,1,0,0
account,1,1,1,1
accountabilities,1,0,0,0
accountability,1,1,1,1
accountable,1,1,1,1
accountableness,0,1,0,0
accountably,0,1,0,0
accountancies,1,1,0,0
accountancy,1,1,1,1
accountant,1,1,1,1
accountants,1,1,1,1
accountantship,0,1,0,0
accountantships,0,1,0,0
accounted,1,1,1,1
accounting,1,1,1,1
accountings,1,1,0,0
accounts,1,1,1,1
accouter,1,1,0,0
accoutered,1,1,0,0
accoutering,1,1,0,0
accouterment,0,1,0,0
accouterments,1,1,0,0
accouters,1,1,0,0
accoutre,1,1,0,0
accoutred,1,1,0,0
accoutrement,0,1,0,0
accoutrements,1,1,0,0
accoutres,1,1,0,0
accoutring,1,1,0,0
accredit,1,1,0,0
accreditable,0,1,0,0
accreditation,1,1,1,1
accreditations,1,1,0,0
accredited,1,1,1,1
accrediting,1,1,0,0
accredits,1,1,0,0
accrete,0,1,0,0
accreted,0,1,0,0
accretes,0,1,0,0
accreting,0,1,0,0
accretion,1,1,0,0
accretionary,0,1,0,0
accretions,1,1,0,0
accretive,0,1,0,0
accruable,0,1,0,0
accrual,1,1,0,0
accruals,1,1,0,0
accrue,1,1,0,0
accrued,1,1,1,1
accruement,0,1,0,0
accruements,0,1,0,0
accrues,1,1,0,0
accruing,1,1,0,0
acct,0,0,1,0
acculturate,1,1,0,0
acculturated,1,1,0,0
acculturates,1,1,0,0
acculturating,1,1,0,0
acculturation,1,1,0,0
acculturational,0,1,0,0
acculturations,1,1,0,0
acculturative,0,1,0,0
accumbent,0,1,0,0
accumulate,1,1,1,1
accumulated,1,1,1,1
accumulates,1,1,0,0
accumulating,1,1,0,0
accumulation,1,1,1,1
accumulations,1,1,0,0
accumulative,1,1,0,0
accumulatively,0,1,0,0
accumulator,1,1,0,0
accumulators,1,1,0,0
accuracies,1,1,0,0
accuracy,1,1,1,1
accurate,1,1,1,1
accurately,1,1,1,1
accurateness,1,1,0,0
accuratenesses,1,1,0,0
accursed,1,1,0,0
accursedly,0,1,0,0
accursedness,1,1,0,0
accursednesses,1,1,0,0
accurst,1,1,0,0
accusable,0,1,0,0
accusably,0,1,0,0
accusal,0,1,0,0
accusals,0,1,0,0
accusant,0,1,0,0
accusants,0,1,0,0
accusation,1,1,0,0
accusations,1,1,0,0
accusatival,0,1,0,0
accusative,1,1,0,0
accusatively,0,1,0,0
accusatives,1,1,0,0
accusatorial,0,1,0,0
accusatory,1,1,0,0
accuse,1,1,0,0
accused,1,1,1,1
accuser,1,1,0,0
accusers,1,1,0,0
accuses,1,1,0,0
accusing,1,1,0,0
accusingly,1,1,0,0
accustom,1,1,0,0
accustomation,0,1,0,0
accustomations,0,1,0,0
accustomed,1,1,1,1
accustomedness,0,1,0,0
accustoming,1,1,0,0
accustoms,1,1,0,0
acdbentity,0,0,1,0
acdbline,0,0,1,0
ace,1,1,1,1
aced,1,1,0,0
acedia,0,1,0,0
acedias,0,1,0,0
aceldama,0,1,0,0
aceldamas,0,1,0,0
acellular,0,1,0,0
acentric,0,1,0,0
acephalic,0,1,0,0
acephalous,0,1,0,0
acequia,0,1,0,0
acequias,0,1,0,0
acer,0,0,1,0
acerate,0,1,0,0
acerated,0,1,0,0
acerb,0,1,0,0
acerbate,1,1,0,0
